zone,electrodes,h2,lag,nwd,wd
ez_niz,C15-C16--C35-C36,"[0.04318024579866323, 0.05225881862041838, 0.048462081630308164, 0.04092478260991827, 0.07336499167282527, 0.0518025733792082, 0.011709439285531168, 0.04737124822535885, 0.08472530401558252, 0.0785433313619189, 0.240970503189743]","[98.0, -92.0, 29.0, 16.0, 86.0, -47.0, 92.0, 96.0, 98.0, 90.0, -11.0]",-0.45454545454545453,-0.5243865043726039
ez_niz,C15-C16--C37-C38,"[0.05510581030323344, 0.058063310026331263, 0.10794185964066515, 0.06580197763154771, 0.028253604370448483, 0.042263288113976775, 0.05683813843064489, 0.0197288029895048, 0.025082375958129538, 0.06420025871569784, 0.15978962919284997]","[-88.0, 79.0, -89.0, -98.0, 48.0, 29.0, -98.0, 52.0, 98.0, -87.0, -92.0]",0.09090909090909091,0.08141743731608742
ez_niz,C15-C16--C101-C102,"[0.06177514254824619, 0.049584374331012766, 0.08626583498584545, 0.07106628707270012, 0.15570297381364043, 0.14787415401101756, 0.05148565856652059, 0.021869744010870797, 0.07738098671673696, 0.09360196147433414, 0.10177880702475442]","[-11.0, -97.0, 98.0, 30.0, 10.0, -10.0, -10.0, -90.0, 49.0, -50.0, 98.0]",0.09090909090909091,0.1932140159012241
ez_niz,C15-C16--C113-C114,"[0.6907628335859859, 0.6249474558966979, 0.20390744433166266, 0.10171488131171873, 0.10955373044667971, 0.12851257278687292, 0.18526675029966444, 0.12548244211746581, 0.15559516589988398, 0.21207762247428286, 0.13025145526339243]","[-3.0, 57.0, -89.0, -71.0, 39.0, 89.0, -81.0, 89.0, -71.0, -41.0, -91.0]",-0.09090909090909091,-0.4116307423595008
ez_niz,C16-C17--C33-C34,"[0.04901710497206967, 0.04505272623087138, 0.16883597334065056, 0.10596582384196478, 0.035357169128241765, 0.10399603845715114, 0.06593179630017908, 0.06872334608700502, 0.05757247439668153, 0.018057343284451563, 0.060631904563473726]","[81.0, 37.0, -8.0, 1.0, -2.0, 8.0, 9.0, 49.0, 69.0, -8.0, -10.0]",0.2727272727272727,0.05313339511875929
ez_niz,C16-C17--C35-C36,"[0.10946828615173368, 0.03854151012483709, 0.1392872034114395, 0.10344649341963526, 0.08194014295981125, 0.04765857437996119, 0.019081950951474375, 0.04404798492817505, 0.036722375615552826, 0.06875965975297028, 0.175250495756333]","[-81.0, -97.0, 50.0, -34.0, -37.0, 7.0, -1.0, 94.0, 98.0, 16.0, -10.0]",0.2727272727272727,0.1353694730034368
ez_niz,C16-C17--C37-C38,"[0.04603790413874217, 0.03807509876608306, 0.17821180911560205, 0.15811585920142485, 0.0572500450429707, 0.022746663391365062, 0.013528580617076204, 0.023585322459318474, 0.06769054215772786, 0.07735046215206336, 0.07955072301237419]","[-91.0, -89.0, -84.0, -83.0, 2.0, -1.0, 98.0, 19.0, 18.0, 19.0, 90.0]",-0.6363636363636364,-0.6704329095871525
ez_niz,C16-C17--C101-C102,"[0.059919814184922975, 0.056270706610688226, 0.10968623617442642, 0.10290116242506293, 0.15100163194465582, 0.15573113702044808, 0.04681635800037625, 0.024022217833911938, 0.04169106124043829, 0.09728055329005841, 0.07717191913324394]","[-11.0, -80.0, -61.0, 69.0, 94.0, 94.0, -93.0, -93.0, -92.0, 41.0, 98.0]",0.2727272727272727,0.2540678397024711
ez_niz,C16-C17--C113-C114,"[0.6793875252471503, 0.6372468753541557, 0.17178387831253553, 0.07272752494624038, 0.1319956679714353, 0.1975287777692079, 0.18321521017640482, 0.1702980027061554, 0.158074937188289, 0.18013577738945907, 0.14165994492922607]","[-3.0, 78.0, -89.0, 81.0, -81.0, 89.0, 89.0, -11.0, 9.0, -81.0, -71.0]",-0.09090909090909091,-0.48839715604959777
ez_niz,C17-C18--C33-C34,"[0.1029699347615533, 0.10218976408692251, 0.183710977443991, 0.05987696047949014, 0.0485624734454274, 0.051858390929526064, 0.07194266844594735, 0.10788812816472386, 0.10436663714840327, 0.026438235264143913, 0.04015226875620673]","[98.0, -98.0, 74.0, -83.0, 15.0, 98.0, 25.0, 64.0, -27.0, -34.0, -98.0]",0.45454545454545453,0.49604006521122584
ez_niz,C17-C18--C35-C36,"[0.08133913219905564, 0.13388388137879845, 0.21303787593232126, 0.24799108662790328, 0.1927410367866286, 0.1902657657394162, 0.09410264807787609, 0.039908441687412276, 0.14508941252767532, 0.10675232901987301, 0.12380334780941266]","[94.0, 3.0, -7.0, -31.0, -98.0, 98.0, 97.0, -29.0, 24.0, 11.0, -98.0]",-0.2727272727272727,-0.17252312426797708
ez_niz,C17-C18--C37-C38,"[0.05307190258270459, 0.07890947637212975, 0.3113689892767157, 0.29000259197687245, 0.16412121118542894, 0.25887174198976337, 0.18753323204935637, 0.10082073181329985, 0.06591108982632515, 0.07677290867042909, 0.1034627505451814]","[98.0, 98.0, 16.0, 15.0, 19.0, 15.0, 13.0, 38.0, -22.0, -16.0, -24.0]",0.6363636363636364,0.8179697294794456
ez_niz,C17-C18--C101-C102,"[0.36926893216221995, 0.17596925599469027, 0.12254474394872253, 0.06781494722377228, 0.12769098707130278, 0.14316866730213007, 0.06686714859641746, 0.03351958970730394, 0.14017293431050043, 0.11104759135593985, 0.05475843605684826]","[83.0, -15.0, -51.0, -44.0, -35.0, 34.0, -85.0, -98.0, -36.0, -32.0, -98.0]",0.09090909090909091,-0.32874738193687936
ez_niz,C17-C18--C113-C114,"[0.14883920276864618, 0.08809248659417303, 0.10972084395594071, 0.23800758737413555, 0.03187261551034135, 0.04944486136556398, 0.041925609644429755, 0.0172487503033206, 0.07521652424003307, 0.05790762575019179, 0.033333597266492355]","[98.0, 95.0, 98.0, -62.0, -95.0, -30.0, -92.0, 28.0, 23.0, -21.0, -57.0]",0.6363636363636364,0.7925880033643935
pz_niz,C2-C3--C33-C34,"[0.17012735474667603, 0.15931482020221346, 0.07939445471166982, 0.042323609778388074, 0.04844899738239054, 0.0735354180963679, 0.10748180094787853, 0.11075866863910719, 0.23491085086225943, 0.07222123847349508, 0.028939500090488575]","[-3.0, -6.0, 25.0, 8.0, 69.0, 68.0, -92.0, 10.0, 98.0, 83.0, -46.0]",0.09090909090909091,0.048598588049127894
